No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,Time 1,Time 2,delay 1,delay 2,jitter,,,,,,Time 1,Time 2,delay,delay 2,jitter
1,0,192.168.100.11,34.98.74.57,TCP,54,"61118  >  443 [FIN, ACK] Seq=1 Ack=1 Win=509 Len=0",,,,,,,,,,,0,0.197458,0.197458,0.000147,0.197311,,,,,,0,0.197458,0.197458,0.000147,0.197311
4,0.197458,34.98.74.57,192.168.100.11,TCP,54,"443  >  61118 [FIN, ACK] Seq=1 Ack=2 Win=261 Len=0",,,,,,,,,,,0.197458,0.197605,0.000147,0.001802,-0.001655,,,,,,0.197458,0.197605,0.000147,0.001802,-0.001655
5,0.197605,192.168.100.11,34.98.74.57,TCP,54,61118  >  443 [ACK] Seq=2 Ack=2 Win=509 Len=0,,,,,,,,,,,0.197605,0.199407,0.001802,0.014994,-0.013192,,,,,,0.197605,0.199407,0.001802,0.014994,-0.013192
7,0.199407,192.168.100.11,35.186.224.13,TCP,66,61305  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,0.199407,0.214401,0.014994,0.000183,0.014811,,,,,,0.199407,0.214401,0.014994,0.000183,0.014811
8,0.214401,35.186.224.13,192.168.100.11,TCP,66,"443  >  61305 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM=1 WS=256",,,,,,,,,,,0.214401,0.214584,0.000183,0.000558,-0.000375,,,,,,0.214401,0.214584,0.000183,0.000558,-0.000375
9,0.214584,192.168.100.11,35.186.224.13,TCP,54,61305  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0,,,,,,,,,,,0.214584,0.215142,0.000558,0.014353,-0.013795,,,,,,0.214584,0.215142,0.000558,0.014353,-0.013795
10,0.215142,192.168.100.11,35.186.224.13,TLSv1.3,650,Client Hello,,,,,,,,,,,0.215142,0.229495,0.014353,0.075657,-0.061304,,,,,,0.215142,0.229495,0.014353,0.075657,-0.061304
11,0.229495,35.186.224.13,192.168.100.11,TCP,54,443  >  61305 [ACK] Seq=1 Ack=597 Win=66816 Len=0,,,,,,,,,,,0.229495,0.305152,0.075657,0.018817,0.05684,,,,,,0.229495,0.305152,0.075657,0.018817,0.05684
12,0.305152,35.186.224.13,192.168.100.11,TLSv1.3,266,"Server Hello, Change Cipher Spec, Application Data",,,,,,,,,,,0.305152,0.323969,0.018817,0.000293,0.018524,,,,,,0.305152,0.323969,0.018817,0.000293,0.018524
13,0.323969,192.168.100.11,35.186.224.13,TLSv1.3,118,"Change Cipher Spec, Application Data",,,,,,,,,,,0.323969,0.324262,0.000293,0.000246,4.70E-05,,,,,,0.323969,0.324262,0.000293,0.000246,0.000047
14,0.324262,192.168.100.11,35.186.224.13,TLSv1.3,146,Application Data,,,,,,,,,,,0.324262,0.324508,0.000246,0.013765,-0.013519,,,,,,0.324262,0.324508,0.000246,0.013765,-0.013519
15,0.324508,192.168.100.11,35.186.224.13,TLSv1.3,1161,Application Data,,,,,,,,,,,0.324508,0.338273,0.013765,0.000113,0.013652,,,,,,0.324508,0.338273,0.013765,0.000113,0.013652
16,0.338273,35.186.224.13,192.168.100.11,TCP,56,443  >  61305 [ACK] Seq=213 Ack=753 Win=66816 Len=0,,,,,,,,,,,0.338273,0.338386,0.000113,0.000254,-0.000141,,,,,,0.338273,0.338386,0.000113,0.000254,-0.000141
17,0.338386,35.186.224.13,192.168.100.11,TCP,56,443  >  61305 [ACK] Seq=213 Ack=1860 Win=69632 Len=0,,,,,,,,,,,0.338386,0.33864,0.000254,0.000589,-0.000335,,,,,,0.338386,0.33864,0.000254,0.000589,-0.000335
18,0.33864,35.186.224.13,192.168.100.11,TCP,56,443  >  61305 [ACK] Seq=213 Ack=661 Win=66816 Len=0,,,,,,,,,,,0.33864,0.339229,0.000589,0.000201,0.000388,,,,,,0.33864,0.339229,0.000589,0.000201,0.000388
19,0.339229,35.186.224.13,192.168.100.11,TLSv1.3,634,"Application Data, Application Data",,,,,,,,,,,0.339229,0.33943,0.000201,0,0.000201,,,,,,0.339229,0.33943,0.000201,0,0.000201
20,0.33943,35.186.224.13,192.168.100.11,TLSv1.3,85,Application Data,,,,,,,,,,,0.33943,0.33943,0,0.044878,-0.044878,,,,,,0.33943,0.33943,0,0.044878,-0.044878
21,0.33943,192.168.100.11,35.186.224.13,TLSv1.3,85,Application Data,,,,,,,,,,,0.33943,0.384308,0.044878,0.017222,0.027656,,,,,,0.33943,0.384308,0.044878,0.017222,0.027656
22,0.384308,192.168.100.11,35.186.224.13,TCP,54,61305  >  443 [ACK] Seq=1891 Ack=824 Win=130304 Len=0,,,,,,,,,,,0.384308,0.40153,0.017222,0.013878,0.003344,,,,,,0.384308,0.40153,0.017222,0.013878,0.003344
23,0.40153,35.186.224.13,192.168.100.11,TCP,56,443  >  61305 [ACK] Seq=824 Ack=1891 Win=69632 Len=0,,,,,,,,,,,0.40153,0.415408,0.013878,0.000196,0.013682,,,,,,0.40153,0.415408,0.013878,0.000196,0.013682
24,0.415408,35.186.224.13,192.168.100.11,TLSv1.3,93,"[TCP Previous segment not captured] , Application Data",,,,,,,,,,,0.415408,0.415604,0.000196,0.000149,4.70E-05,,,,,,0.415408,0.415604,0.000196,0.000149,0.000047
25,0.415604,192.168.100.11,35.186.224.13,TCP,66,[TCP Dup ACK 22#1] 61305  >  443 [ACK] Seq=1891 Ack=824 Win=130304 Len=0 SLE=1687 SRE=1726,,,,,,,,,,,0.415604,0.415753,0.000149,0,0.000149,,,,,,0.415604,0.415753,0.000149,0,0.000149
26,0.415753,35.186.224.13,192.168.100.11,TCP,524,"[TCP Out-Of-Order] 443  >  61305 [PSH, ACK] Seq=824 Ack=1891 Win=69632 Len=470",,,,,,,,,,,0.415753,0.415753,0,6.60E-05,-6.60E-05,,,,,,0.415753,0.415753,0,6.60E-05,-0.000066
27,0.415753,35.186.224.13,192.168.100.11,TCP,447,"[TCP Out-Of-Order] 443  >  61305 [PSH, ACK] Seq=1294 Ack=1891 Win=69632 Len=393",,,,,,,,,,,0.415753,0.415819,6.60E-05,7.50E-05,-9.00E-06,,,,,,0.415753,0.415819,6.60E-05,7.50E-05,-9.00E-06
28,0.415819,192.168.100.11,35.186.224.13,TCP,66,61305  >  443 [ACK] Seq=1891 Ack=1294 Win=129792 Len=0 SLE=1687 SRE=1726,,,,,,,,,,,0.415819,0.415894,7.50E-05,0.000525,-0.00045,,,,,,0.415819,0.415894,7.50E-05,0.000525,-0.00045
29,0.415894,192.168.100.11,35.186.224.13,TCP,54,61305  >  443 [ACK] Seq=1891 Ack=1726 Win=131072 Len=0,,,,,,,,,,,0.415894,0.416419,0.000525,0.013227,-0.012702,,,,,,0.415894,0.416419,0.000525,0.013227,-0.012702
30,0.416419,192.168.100.11,35.186.224.13,TLSv1.3,93,Application Data,,,,,,,,,,,0.416419,0.429646,0.013227,0.471584,-0.458357,,,,,,0.416419,0.429646,0.013227,0.471584,-0.458357
31,0.429646,35.186.224.13,192.168.100.11,TCP,56,443  >  61305 [ACK] Seq=1726 Ack=1930 Win=69632 Len=0,,,,,,,,,,,0.429646,0.90123,0.471584,0.000132,0.471452,,,,,,0.429646,0.90123,0.471584,0.000132,0.471452
32,0.90123,192.168.100.11,35.186.224.25,TLSv1.2,136,Application Data,,,,,,,,,,,0.90123,0.901362,0.000132,0.02419,-0.024058,,,,,,0.90123,0.901362,0.000132,0.02419,-0.024058
33,0.901362,192.168.100.11,35.186.224.25,TLSv1.2,169,Application Data,,,,,,,,,,,0.901362,0.925552,0.02419,0.000359,0.023831,,,,,,0.901362,0.925552,0.02419,0.000359,0.023831
34,0.925552,35.186.224.25,192.168.100.11,TCP,56,443  >  61103 [ACK] Seq=1 Ack=83 Win=594 Len=0,,,,,,,,,,,0.925552,0.925911,0.000359,0.090804,-0.090445,,,,,,0.925552,0.925911,0.000359,0.090804,-0.090445
35,0.925911,35.186.224.25,192.168.100.11,TCP,56,443  >  61103 [ACK] Seq=1 Ack=198 Win=594 Len=0,,,,,,,,,,,0.925911,1.016715,0.090804,0.000617,0.090187,,,,,,0.925911,1.016715,0.090804,0.000617,0.090187
36,1.016715,35.186.224.25,192.168.100.11,TLSv1.2,129,Application Data,,,,,,,,,,,1.016715,1.017332,0.000617,0,0.000617,,,,,,1.016715,1.017332,0.000617,0,0.000617
